"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ko:K12987",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K15653",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K16095",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K16425",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K19175",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K19621",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K22108",0.341864663266815,-1.06808981017254,3.44749453644919,-0.309816244487116,0.756700697712924,NA
"ko:K09680",0.333996159946377,-1.06548924998464,3.44760859953385,-0.309051685892855,0.757282210291078,NA
"ko:K17215",0.957998677867258,0.583382701240521,1.892200602721,0.308309119234827,0.757847127661197,NA
"ko:K02899",114.023880294785,0.0810903076450298,0.263046572196615,0.308273576682149,0.757874170372476,0.865916533265341
"ko:K21571",6.20581357964283,0.422065300293695,1.36965642019337,0.30815414294492,0.757965044239879,0.865916533265341
"ko:K04019",0.591492568361888,1.04163480693633,3.38031204253376,0.308147530118419,0.757970075856612,NA
"ko:K04047",32.9742663476908,-0.156000368505037,0.506276816241036,-0.308132554169271,0.757981470906363,0.865916533265341
"ko:K08688",1.04009513660783,-0.632823435501309,2.05551158031036,-0.307866636005894,0.758183814128368,NA
"ko:K12988",0.623453579514856,-0.854455095798358,2.77807854782715,-0.307570531605977,0.758409146242161,NA
"ko:K01756",61.0570432121959,-0.100043000321606,0.325420014312718,-0.307427312155016,0.758518141996357,0.866315455799596
"ko:K04116",0.741921884745061,0.979377161588234,3.19378811736715,0.306650637298882,0.759109306283736,NA
"ko:K02109",130.942291490641,-0.0931962284123174,0.304289632156186,-0.306274741442658,0.759395469140765,0.866914141743304
"ko:K07241",8.47670792243396,-0.215708764411383,0.704364916098448,-0.306245753417442,0.759417538579722,0.866914141743304
"ko:K01491",37.8629270187626,-0.109721877693495,0.359188879777261,-0.30547125445959,0.760007259982539,0.867373067023787
"ko:K07016",0.933455745708553,-0.780646980719337,2.55978432566865,-0.304965919546922,0.760392108904831,NA
