ko;RNA_PA_A_T1_insitu;RNA_PA_A_T1_plant;RNA_PA_A_T3_insitu;RNA_PA_A_T3_plant;RNA_SG_A_T1_insitu;RNA_SG_A_T1_plant;RNA_SG_A_T3_insitu;RNA_SG_A_T3_plant
ko:K00929;0;0;4;2;0;0;0;0
ko:K00930;103;58;32;67;48;36;33;26
ko:K00931;60;72;23;47;5;10;10;3
ko:K00932;0;0;1;0;0;0;0;0
ko:K00933;0;0;0;0;1;0;0;0
ko:K00934;0;0;0;0;1;0;0;0
ko:K00936;31;12;19;5;4;4;8;3
ko:K00937;251;178;78;66;79;65;59;39
ko:K00938;4;5;0;4;2;0;0;0
ko:K00939;276;138;156;232;91;64;48;30
ko:K00940;112;164;71;110;121;56;19;28
ko:K00941;92;68;22;43;17;4;10;9
ko:K00942;100;66;43;71;28;24;23;8
ko:K00943;92;91;42;42;20;25;13;22
ko:K00945;91;69;34;53;32;19;23;10
ko:K00946;54;43;22;25;21;7;4;2
ko:K00947;10;0;2;8;1;6;0;0
ko:K00948;207;210;135;193;123;90;65;46
ko:K00949;12;1;2;4;2;0;0;0
ko:K00950;25;24;12;23;7;1;1;6
ko:K00951;487;347;170;228;107;157;134;60
ko:K00952;2;2;0;0;1;2;0;3
ko:K00954;119;87;25;47;23;13;8;9
ko:K00955;175;134;50;41;42;42;33;28
ko:K00956;118;97;75;192;43;39;28;28
ko:K00957;140;94;69;182;87;48;42;7
ko:K00958;179;100;16;32;13;24;5;2
ko:K00960;4;0;0;0;0;2;0;0
ko:K00962;1142;915;642;923;557;415;356;214
ko:K00963;81;92;61;86;79;42;32;25
ko:K00965;54;45;25;37;7;13;9;6
ko:K00966;192;102;63;67;19;17;11;6
ko:K00968;0;2;0;3;0;0;5;0
ko:K00969;71;39;38;43;16;10;23;5
ko:K00970;104;122;73;104;19;16;19;11
ko:K00971;53;44;36;68;10;11;10;7
ko:K00972;17;8;9;17;7;0;2;2
ko:K00973;179;128;87;132;44;31;33;25
ko:K00974;94;68;77;120;12;13;17;5
ko:K00975;120;129;145;200;105;169;118;76
ko:K00978;26;20;34;56;6;9;8;0
ko:K00979;23;27;24;34;20;3;4;7
ko:K00980;1;2;0;3;0;2;2;0
ko:K00981;74;48;16;34;9;16;6;2
ko:K00982;45;66;27;86;35;15;17;13
ko:K00983;1;2;26;25;2;4;2;3
ko:K00984;4;2;2;8;2;0;0;0
ko:K00986;662;656;656;1124;170;230;192;103
ko:K00988;0;0;0;0;0;0;0;0
ko:K00989;83;71;37;45;18;24;20;5
ko:K00990;39;38;57;61;34;27;21;15
ko:K00991;36;23;21;15;16;11;5;5
ko:K00992;3;7;0;8;6;1;3;3
ko:K00995;136;118;67;100;21;17;13;23
ko:K00996;14;6;1;8;5;3;3;0
ko:K00997;58;32;15;20;23;0;6;2
ko:K00998;0;0;0;0;0;0;0;0
ko:K00999;16;5;5;2;1;0;4;2
ko:K01000;87;77;21;64;25;28;8;9
ko:K01001;0;0;2;0;0;0;0;0
ko:K01002;2;0;6;15;2;0;0;0
ko:K01003;0;0;0;0;0;2;0;0
ko:K01004;40;20;18;10;10;3;9;0
ko:K01006;213;123;238;337;235;125;96;62
ko:K01007;268;175;127;131;127;54;61;30
ko:K01008;332;203;93;108;19;12;25;5
ko:K01011;547;334;179;241;94;124;107;46
ko:K01012;118;106;38;66;42;28;13;10
ko:K01014;23;10;5;8;3;3;4;4
ko:K01015;6;2;0;0;0;0;0;0
ko:K01023;2;2;1;2;0;0;2;0
ko:K01026;25;5;7;12;96;13;8;1
ko:K01027;8;8;14;14;0;0;0;0
ko:K01028;76;84;48;54;90;18;15;14
ko:K01029;43;43;28;15;73;20;14;10
ko:K01031;6;4;5;5;2;6;8;4
ko:K01032;3;3;0;3;13;7;8;7
ko:K01034;5;1;10;14;56;1;0;3
ko:K01035;0;2;0;0;27;0;0;0
ko:K01039;8;6;7;15;1;5;4;1
ko:K01040;4;12;2;12;5;1;1;0
ko:K01042;127;60;52;57;11;16;10;9
ko:K01045;0;0;2;0;0;0;0;0
ko:K01046;19;40;28;50;11;6;0;2
ko:K01048;4;12;12;9;13;2;5;4
ko:K01050;0;0;0;0;2;0;0;0
ko:K01051;11;4;1;6;10;11;15;4
ko:K01053;71;39;81;69;49;52;20;21
ko:K01054;0;0;0;0;0;0;0;0
ko:K01055;43;13;7;15;6;2;4;5
ko:K01056;71;66;68;119;23;23;16;11
ko:K01057;96;62;20;42;11;8;0;6
ko:K01058;2;0;0;4;2;1;0;0
ko:K01060;8;4;13;7;1;3;0;0
ko:K01061;99;87;73;99;65;49;51;42
ko:K01066;23;16;19;25;17;26;12;13
ko:K01067;1;0;0;0;0;0;0;0
ko:K01069;78;62;25;50;18;9;25;9
ko:K01070;21;19;5;5;11;0;0;2
ko:K01071;2;8;1;8;2;0;0;0
ko:K01073;4;1;1;2;0;0;0;0
ko:K01075;12;10;3;5;2;6;0;1
ko:K01077;159;89;119;134;19;22;10;9
ko:K01079;26;16;9;22;9;13;0;1
ko:K01081;161;135;89;175;28;41;14;12
ko:K01082;42;29;12;8;15;13;3;1
ko:K01083;45;39;102;129;7;5;2;2
ko:K01085;0;0;0;0;0;0;0;0
ko:K01086;4;2;8;6;0;0;0;0
ko:K01087;86;77;17;28;11;9;16;5
ko:K01089;25;36;6;12;5;5;8;9
ko:K01090;72;95;99;129;19;26;29;20
ko:K01091;73;35;31;53;18;13;10;8
ko:K01092;142;98;54;59;36;42;24;19
ko:K01093;0;0;0;0;0;0;0;0
ko:K01095;3;4;1;6;5;1;2;1
ko:K01096;7;4;5;3;1;3;0;6
ko:K01101;18;11;6;4;1;0;1;2
ko:K01104;80;47;64;53;13;4;8;7
ko:K01113;180;321;84;113;27;13;19;5
ko:K01114;19;28;29;52;23;32;18;14
ko:K01115;19;13;5;12;8;0;2;0
ko:K01117;0;2;0;2;0;0;0;0
ko:K01118;5;2;3;1;12;5;6;13
ko:K01119;53;29;31;33;8;6;1;4
ko:K01120;16;19;12;15;18;4;3;7
ko:K01121;0;0;0;0;0;0;0;0
ko:K01126;188;103;138;168;25;28;21;15
ko:K01127;1;5;0;4;13;0;4;2
ko:K01128;0;0;0;0;0;0;0;0
ko:K01129;75;57;52;53;17;16;9;1
ko:K01130;63;39;84;150;8;27;7;9
ko:K01132;0;0;10;18;0;3;3;1
ko:K01133;71;74;73;92;19;15;5;1
ko:K01134;9;4;56;86;2;2;0;0
ko:K01135;11;4;4;3;0;0;0;0
ko:K01136;0;0;2;11;0;0;0;0
ko:K01137;68;32;14;14;2;0;2;0
ko:K01138;28;27;70;119;7;14;2;0
ko:K01139;116;110;69;104;74;113;91;38
ko:K01141;15;8;0;0;0;0;0;0
ko:K01142;80;90;38;75;34;24;11;5
ko:K01143;0;0;0;0;0;0;0;0
ko:K01144;9;11;1;8;2;6;0;4
ko:K01146;0;1;0;0;0;0;0;0
ko:K01147;14;20;20;32;16;7;0;2
ko:K01150;0;0;0;0;0;0;0;0
ko:K01151;51;36;12;25;15;17;5;5
ko:K01152;29;11;2;3;2;8;3;4
ko:K01153;244;179;86;130;29;33;12;15
ko:K01154;79;56;28;81;1;2;1;0
ko:K01155;3;8;4;0;16;0;0;3
ko:K01156;89;38;37;61;10;2;4;2
ko:K01158;0;0;0;0;0;0;0;0
ko:K01159;59;51;37;36;5;8;6;8
ko:K01160;0;2;0;0;0;0;0;0
ko:K01163;0;0;1;0;0;0;0;0
ko:K01166;0;0;0;0;2;0;0;2
ko:K01167;11;13;23;48;26;7;4;3
ko:K01169;0;0;0;0;2;0;0;2
ko:K01170;0;0;0;0;0;0;1;0
ko:K01173;27;42;3;3;21;39;6;7
ko:K01174;101;62;26;19;4;2;5;0
ko:K01175;1;0;0;0;0;0;0;0
ko:K01176;83;80;23;52;18;31;14;9
ko:K01178;85;32;82;149;24;27;30;16
ko:K01179;568;535;304;416;266;213;90;47
ko:K01181;14;15;93;107;132;104;30;19
ko:K01182;52;23;3;10;14;17;10;6
ko:K01183;141;94;118;211;37;31;22;9
ko:K01184;2;0;0;0;11;9;1;2
ko:K01185;15;18;14;36;0;1;1;0
ko:K01186;202;100;48;67;44;7;4;6
ko:K01187;210;147;91;129;71;76;45;24
ko:K01190;163;95;210;305;42;26;35;15
ko:K01191;117;49;61;96;14;10;4;9
ko:K01192;26;15;16;16;3;16;9;4
ko:K01193;23;16;7;11;6;5;2;4
ko:K01194;20;12;15;16;7;0;7;0
ko:K01195;34;19;8;3;9;5;13;3
ko:K01197;7;9;2;7;5;2;2;4
ko:K01198;15;4;7;11;7;11;5;4
ko:K01200;46;57;19;8;24;20;6;3
ko:K01201;7;8;7;7;9;6;8;5
ko:K01202;0;0;0;0;0;0;0;0
ko:K01205;3;5;7;7;0;0;0;0
ko:K01206;30;20;37;34;17;12;14;14
ko:K01207;169;140;39;105;24;23;20;19
ko:K01208;22;22;6;10;2;6;0;4
ko:K01209;45;35;26;49;26;54;19;20
ko:K01210;0;0;0;1;5;10;8;8
ko:K01212;12;12;4;7;5;5;8;6
ko:K01213;0;0;0;0;0;0;0;0
ko:K01214;366;403;135;162;92;154;106;49
ko:K01215;0;0;2;0;0;0;0;0
ko:K01216;0;0;10;4;10;5;6;0
ko:K01218;149;82;79;91;33;44;11;7
ko:K01219;0;0;4;2;0;0;0;0
ko:K01220;0;0;0;0;0;0;0;0
ko:K01222;70;19;35;16;1;2;2;2
ko:K01223;2;2;4;0;5;0;0;0
ko:K01224;6;1;10;14;7;2;0;0
ko:K01226;22;15;5;10;0;0;0;0
ko:K01227;18;9;3;0;0;2;0;0
ko:K01230;0;0;0;0;0;0;0;2
ko:K01232;0;0;0;0;0;0;0;0
ko:K01233;8;2;8;32;2;1;0;2
ko:K01235;1;2;0;4;4;5;1;0
ko:K01236;154;92;78;120;26;66;72;25
ko:K01239;17;22;23;17;6;3;3;5
ko:K01241;9;17;7;12;16;7;4;5
ko:K01243;12;4;25;34;10;2;1;0
ko:K01246;22;6;9;18;2;4;0;2
ko:K01247;50;46;19;45;14;3;2;6
ko:K01250;25;15;10;6;0;2;0;0
ko:K01251;568;400;214;338;258;188;128;78
ko:K01252;0;0;0;0;0;0;0;0
ko:K01253;6;6;4;0;25;43;14;5
ko:K01255;356;335;108;172;86;64;56;41
ko:K01256;132;135;84;164;96;71;78;48
ko:K01258;18;11;3;7;4;5;13;12
ko:K01259;79;47;18;35;22;19;12;13
ko:K01262;184;144;104;142;72;37;56;30
ko:K01263;5;13;27;27;5;0;0;2
ko:K01264;0;0;0;0;1;0;1;0
ko:K01265;235;247;265;304;65;56;54;25
ko:K01266;64;50;46;82;4;7;2;0
ko:K01267;11;3;0;2;3;4;1;2
ko:K01269;21;2;7;9;0;0;1;1
ko:K01270;2;2;0;6;0;0;0;0
ko:K01271;142;65;81;97;17;14;14;6
ko:K01273;88;58;76;105;16;18;14;9
ko:K01274;41;14;6;9;0;3;1;2
ko:K01277;18;26;12;25;9;10;2;5
ko:K01278;138;130;51;123;33;35;16;13
ko:K01280;2;0;0;2;0;0;0;0
ko:K01281;8;8;0;2;5;2;2;2
ko:K01283;180;198;40;92;10;24;22;8
ko:K01284;152;200;43;57;39;29;23;21
ko:K01286;175;100;106;169;73;44;40;23
ko:K01295;27;23;29;57;17;13;4;5
ko:K01297;12;10;13;31;4;4;2;0
ko:K01299;77;83;16;31;27;40;64;7
ko:K01301;14;9;7;5;7;18;4;2
ko:K01303;90;29;30;45;14;8;5;3
ko:K01304;2;5;6;9;2;0;2;0
ko:K01305;0;0;3;8;1;2;2;1
ko:K01308;0;0;0;0;0;0;0;0
ko:K01312;40;54;9;13;0;1;2;0
ko:K01317;119;129;31;32;4;5;4;0
ko:K01318;7;0;4;0;6;1;4;0
ko:K01322;243;228;81;145;22;31;24;32
ko:K01325;2;0;2;6;0;0;0;0
ko:K01337;42;24;23;64;102;56;6;7
ko:K01338;1329;1294;901;1249;739;513;543;332
ko:K01341;0;0;0;0;0;0;1;0
ko:K01342;633;1223;54;86;4;0;8;0
ko:K01346;0;0;0;0;0;0;0;0
ko:K01347;0;0;2;0;0;0;0;0
ko:K01354;89;85;28;32;37;20;31;16
ko:K01355;0;0;0;0;0;0;0;0
ko:K01356;318;183;102;188;74;75;31;25
ko:K01358;518;476;328;531;310;283;210;167
ko:K01361;27;14;13;30;2;2;1;0
ko:K01364;0;0;0;0;0;0;0;0
ko:K01365;6;2;16;36;0;0;0;0
ko:K01371;0;0;0;0;0;0;0;0
ko:K01372;3;0;3;6;0;0;0;0
ko:K01382;0;0;0;0;0;0;0;0
ko:K01385;0;0;0;0;2;2;2;0
ko:K01387;33;24;4;18;0;1;7;0
ko:K01389;1;0;1;2;8;8;3;2
ko:K01390;0;0;0;0;0;0;0;0
ko:K01392;17;50;2;13;31;3;1;1
ko:K01399;2;4;12;50;8;0;0;0
ko:K01400;121;76;12;20;9;19;10;3
ko:K01401;4;2;0;0;0;0;2;0
ko:K01406;197;108;338;454;114;53;33;17
ko:K01407;0;0;0;2;6;2;0;0
ko:K01408;0;0;0;0;0;0;0;0
ko:K01409;91;61;48;40;19;20;16;10
ko:K01414;67;49;24;29;26;8;14;6
ko:K01415;22;14;3;9;21;14;26;7
ko:K01416;0;0;0;0;2;2;3;1
ko:K01417;17;21;4;10;4;45;8;0
ko:K01419;50;44;18;33;30;13;8;7
ko:K01420;316;230;40;35;287;38;6;10
ko:K01421;0;2;0;0;0;2;0;2
ko:K01424;65;51;48;56;23;9;10;7
ko:K01425;9;10;7;3;7;7;2;5
ko:K01426;310;166;75;113;85;56;60;35
ko:K01427;0;0;0;0;1;2;2;0
ko:K01428;10;2;9;18;21;22;56;13
ko:K01429;7;4;0;2;2;0;6;2
ko:K01430;1;0;0;0;3;2;2;0
ko:K01431;21;34;32;38;16;7;21;19
ko:K01432;3;4;6;0;11;0;3;0
ko:K01433;22;19;16;21;14;8;7;6
ko:K01434;127;95;52;71;26;18;16;12
ko:K01436;138;103;93;88;19;28;24;6
ko:K01437;0;0;0;0;0;0;0;0
ko:K01438;101;50;59;91;14;19;14;2
ko:K01439;164;110;47;91;19;23;11;18
ko:K01442;0;0;0;0;0;0;0;0
ko:K01443;60;19;68;120;15;18;7;6
ko:K01444;8;8;28;39;4;5;7;1
ko:K01446;15;12;0;0;0;0;0;0
ko:K01447;167;371;47;37;7;3;1;2
ko:K01448;346;280;188;227;37;20;26;5
ko:K01449;2;3;5;2;0;4;0;0
ko:K01450;4;0;2;7;0;1;0;2
ko:K01451;2;0;4;4;1;2;0;0
ko:K01452;6;19;3;8;15;1;3;0
ko:K01453;2;0;0;0;0;0;0;0
ko:K01455;71;42;17;14;51;75;22;17
ko:K01457;2;3;0;0;0;6;0;2
ko:K01458;23;14;4;8;5;3;1;0
ko:K01459;11;2;2;4;6;0;3;0
ko:K01460;2;2;2;0;0;0;0;0
ko:K01461;0;0;0;0;0;0;0;0
ko:K01462;132;109;59;112;40;33;26;27
ko:K01463;24;6;6;3;5;9;11;5
ko:K01464;108;70;54;101;44;33;18;17
ko:K01465;183;152;85;195;34;35;28;15
ko:K01466;22;17;13;3;7;17;5;11
ko:K01467;40;70;17;2;4;0;0;0
ko:K01468;40;16;17;29;11;3;2;2
ko:K01469;73;64;22;39;25;16;14;9
ko:K01470;48;33;57;93;19;8;9;11
ko:K01473;155;87;19;28;24;31;19;4
ko:K01474;95;61;25;30;16;15;11;11
ko:K01476;84;31;16;20;12;9;8;11
ko:K01477;18;13;4;10;3;11;2;4
ko:K01478;59;44;5;11;21;18;5;2
ko:K01479;21;6;0;10;4;7;0;2
ko:K01480;86;61;41;38;15;19;8;9
ko:K01481;7;2;7;12;0;0;0;0
ko:K01482;4;1;0;0;0;1;0;0
ko:K01483;2;2;2;3;2;3;2;0
ko:K01484;4;12;10;13;8;0;0;0
ko:K01485;22;14;5;8;14;8;1;4
ko:K01486;34;19;6;8;13;6;0;2
ko:K01487;8;4;3;8;12;7;7;5
ko:K01488;64;60;29;42;8;16;7;7
ko:K01489;32;7;17;35;6;6;3;1
ko:K01491;136;79;37;58;37;22;14;16
ko:K01493;15;7;23;19;6;5;5;0
ko:K01494;81;80;28;56;28;18;27;14
ko:K01495;95;67;36;90;44;39;32;11
ko:K01496;22;22;14;18;12;0;6;10
ko:K01497;18;13;14;20;17;5;3;5
ko:K01498;4;0;0;0;0;1;0;0
ko:K01499;0;0;2;2;0;1;2;0
ko:K01501;56;43;16;20;7;0;0;1
ko:K01502;8;15;2;2;3;3;3;2
ko:K01505;5;4;14;21;7;5;0;0
ko:K01507;166;126;81;116;80;89;51;21
ko:K01510;0;0;0;0;0;0;0;0
ko:K01512;26;23;15;26;0;4;2;1
ko:K01514;0;0;0;0;0;0;0;0
ko:K01515;69;35;22;28;11;9;13;6
ko:K01518;9;4;0;6;0;0;0;0
ko:K01520;26;23;14;29;1;1;2;3
ko:K01521;0;0;0;0;0;0;0;0
ko:K01523;7;2;6;1;11;3;7;5
ko:K01524;133;94;61;65;33;20;11;2
ko:K01525;10;20;12;21;7;0;0;1
ko:K01531;34;21;10;4;0;6;4;1
ko:K01533;296;144;106;103;122;22;13;19
ko:K01534;150;88;75;114;10;8;4;3
ko:K01535;0;0;2;2;20;31;16;6
ko:K01537;39;24;10;10;85;84;36;23
ko:K01539;0;0;0;0;0;0;0;0
ko:K01546;0;0;0;0;0;0;2;0
ko:K01547;0;0;0;0;0;0;0;1
ko:K01548;0;0;0;2;0;0;0;0
ko:K01551;115;115;23;45;5;16;1;6
ko:K01555;14;5;18;16;7;0;0;3
ko:K01556;48;49;12;26;15;11;8;3
ko:K01560;83;71;26;30;30;9;6;6
ko:K01561;18;15;4;12;8;13;2;1
ko:K01563;70;30;17;28;10;7;8;2
ko:K01565;6;2;15;12;0;0;0;0
ko:K01567;2;6;0;0;0;0;0;0
ko:K01568;0;0;0;0;0;0;0;1
ko:K01569;10;9;0;3;2;2;2;1
ko:K01571;15;9;18;23;4;13;1;4
ko:K01572;2;4;0;1;0;0;0;0
ko:K01574;4;1;2;2;0;2;6;2
ko:K01575;0;2;0;0;0;0;0;0
ko:K01576;204;78;28;45;21;25;16;7
ko:K01577;12;10;1;6;51;26;16;15
ko:K01578;10;14;9;9;14;3;4;8
ko:K01579;55;44;16;16;13;8;6;6
ko:K01580;11;4;8;9;2;10;0;8
ko:K01581;46;40;57;49;59;46;40;26
ko:K01582;8;6;6;13;2;7;0;2
ko:K01583;7;6;0;3;0;0;1;0
ko:K01584;16;17;6;19;87;97;26;27
ko:K01585;136;123;103;158;70;51;48;57
ko:K01586;158;112;64;69;40;49;42;25
ko:K01587;1;0;0;0;0;0;0;0
ko:K01588;48;49;44;62;15;8;6;1
ko:K01589;53;57;30;47;23;7;14;8
ko:K01590;0;0;0;0;0;0;0;0
ko:K01591;67;45;36;46;11;4;6;3
ko:K01593;53;26;9;19;4;13;7;12
ko:K01594;2;4;0;0;0;0;0;0
ko:K01595;196;150;74;93;64;27;13;8
ko:K01596;233;274;324;230;257;184;173;120
ko:K01597;7;5;0;0;0;1;0;0
ko:K01598;15;4;16;25;4;1;2;0
ko:K01599;68;54;49;56;40;17;10;17
ko:K01601;1289;984;147;152;32;68;40;14
ko:K01602;422;273;42;40;2;14;7;0
ko:K01607;27;23;22;32;32;16;11;16
ko:K01608;55;35;7;8;31;12;8;4
ko:K01609;104;74;22;40;28;20;15;9
ko:K01610;301;190;116;172;98;86;62;44
ko:K01611;76;82;56;85;15;17;23;20
ko:K01612;0;0;0;0;2;0;1;2
ko:K01613;69;74;56;47;26;15;14;8
ko:K01615;4;1;0;8;0;1;0;1
ko:K01616;137;70;82;66;102;154;128;71
ko:K01617;6;7;2;0;3;5;0;4
ko:K01619;86;62;49;49;19;18;11;8
ko:K01620;89;60;32;47;11;11;20;9
ko:K01621;18;9;8;12;72;91;27;16
ko:K01622;7;1;0;4;15;18;5;0
ko:K01623;607;515;56;34;30;25;21;4
ko:K01624;80;89;135;154;139;93;58;46
ko:K01625;30;21;10;16;5;6;11;8
ko:K01626;124;140;46;81;73;47;56;29
ko:K01627;26;42;26;44;27;15;5;3
ko:K01628;27;28;24;27;26;9;24;9
ko:K01629;15;7;4;2;7;10;11;5
ko:K01630;13;5;15;27;7;2;1;0
ko:K01631;5;0;5;3;1;3;1;2
ko:K01633;29;22;8;10;4;8;8;2
ko:K01634;13;22;6;11;2;2;5;3
ko:K01635;13;12;5;6;20;20;8;2
ko:K01637;215;190;122;239;172;83;149;54
ko:K01638;226;177;58;97;233;69;67;41
ko:K01639;1;4;4;5;0;0;5;2
ko:K01640;84;62;54;66;16;17;18;15
ko:K01641;40;47;8;16;25;16;22;14
ko:K01643;2;0;0;0;0;3;0;0
ko:K01644;61;33;82;56;32;21;47;13
ko:K01647;644;561;313;451;528;280;277;151
ko:K01649;477;266;298;373;199;165;124;99
ko:K01652;771;438;368;454;341;256;171;121
ko:K01653;105;52;45;48;32;30;28;21
ko:K01654;18;31;43;69;8;5;6;6
ko:K01655;0;0;0;11;0;0;0;0
ko:K01657;150;123;66;100;35;15;21;8
ko:K01658;92;62;31;39;16;19;12;6
ko:K01659;75;99;12;40;64;20;6;9
ko:K01661;34;8;17;29;5;6;8;2
ko:K01662;408;282;178;190;113;103;54;66
ko:K01663;0;9;4;0;0;2;0;0
ko:K01664;24;4;12;9;3;6;2;2
ko:K01665;39;20;11;21;17;4;1;0
ko:K01666;10;2;2;3;1;2;0;0
ko:K01667;2;2;1;3;2;0;0;0
ko:K01668;2;2;1;3;0;0;0;0
ko:K01669;33;20;4;6;7;9;6;0
ko:K01671;3;0;2;0;1;0;0;0
ko:K01673;178;127;54;75;48;26;22;21
ko:K01674;2;4;4;11;12;1;2;2
ko:K01676;42;62;33;70;54;10;25;10
ko:K01677;32;11;15;14;1;0;0;0
ko:K01678;13;0;8;7;4;1;4;1
ko:K01679;103;86;67;76;71;29;45;19
ko:K01681;739;657;296;451;401;273;180;105
ko:K01682;14;19;14;77;123;45;8;19
ko:K01683;11;5;2;2;0;0;0;0
ko:K01684;124;66;55;83;28;22;18;6
ko:K01685;81;29;22;38;20;23;26;18
ko:K01686;60;46;44;57;16;11;3;2
ko:K01687;284;205;167;305;172;140;83;83
ko:K01689;298;230;131;240;170;90;61;42
ko:K01690;26;31;12;13;27;12;6;8
ko:K01692;108;120;65;77;60;31;25;11
ko:K01693;47;49;19;28;34;12;12;12
ko:K01695;74;49;28;37;18;16;9;7
ko:K01696;197;138;60;76;49;45;34;14
ko:K01697;177;112;63;101;45;28;27;10
ko:K01698;134;125;36;61;57;30;33;16
ko:K01699;7;11;0;1;37;21;13;10
ko:K01703;262;204;135;196;134;108;98;63
ko:K01704;87;84;40;79;37;19;30;24
ko:K01705;0;0;0;0;0;0;0;0
ko:K01706;23;16;25;14;1;4;0;0
ko:K01707;5;6;8;6;5;2;2;5
ko:K01708;50;21;12;30;7;9;9;10
ko:K01709;23;18;6;10;4;5;7;0
ko:K01710;352;256;122;243;69;88;78;33
ko:K01711;108;73;65;123;36;20;27;17
ko:K01712;60;77;74;104;32;9;13;10
ko:K01713;3;11;8;3;10;0;0;2
ko:K01714;293;217;143;224;102;75;61;38
ko:K01715;91;54;49;80;36;22;17;15
ko:K01716;18;23;3;3;4;1;6;2
ko:K01719;80;46;37;56;38;26;34;14
ko:K01720;8;13;6;12;3;8;4;4
ko:K01721;22;7;11;14;4;8;3;1
ko:K01724;57;57;26;25;14;15;9;9
ko:K01725;5;4;1;0;0;0;0;1
ko:K01727;28;30;4;7;10;0;2;0
ko:K01728;3;3;39;55;53;47;12;9
ko:K01729;2;6;11;12;6;5;6;1
ko:K01730;11;13;1;2;2;13;1;8
ko:K01731;0;0;0;0;0;0;0;0
ko:K01732;0;0;17;18;0;0;0;0
ko:K01733;331;237;245;181;83;112;80;47
ko:K01734;8;16;2;9;4;0;2;1
ko:K01735;178;95;71;119;35;8;5;9
ko:K01736;146;103;79;90;31;32;11;12
ko:K01737;26;26;42;35;8;14;9;6
ko:K01738;348;252;160;267;156;73;50;45
ko:K01739;201;135;70;147;50;22;36;17
ko:K01740;183;77;65;61;83;47;25;15
ko:K01741;0;0;0;0;0;0;0;0
ko:K01744;28;21;27;45;54;32;2;20
ko:K01745;101;67;22;40;12;9;12;6
ko:K01746;36;18;10;0;0;2;0;0
ko:K01749;137;103;67;85;28;17;13;11
ko:K01750;55;34;16;25;14;24;5;7
ko:K01751;8;6;4;16;0;2;0;0
ko:K01752;66;56;27;35;27;19;11;12
ko:K01753;0;0;0;1;0;0;0;0
ko:K01754;176;85;91;184;43;42;34;18
ko:K01755;124;97;91;123;51;27;25;19
ko:K01756;126;120;91;119;54;22;35;27
ko:K01757;0;0;2;0;0;0;0;0
ko:K01758;72;88;28;54;33;16;11;12
ko:K01759;60;34;34;34;17;7;7;5
ko:K01760;55;35;47;85;41;14;21;16
ko:K01761;90;54;36;78;33;9;24;15
ko:K01766;0;0;0;0;0;0;0;0
ko:K01768;193;248;303;476;106;99;87;78
ko:K01769;0;0;1;2;0;0;0;0
ko:K01770;36;23;18;33;10;2;4;4
ko:K01771;0;0;2;0;4;1;2;0
ko:K01772;58;42;11;42;14;10;10;3
ko:K01775;87;66;54;82;22;19;7;13
ko:K01776;69;54;15;34;15;5;14;4
ko:K01777;14;6;8;8;2;0;0;0
ko:K01778;73;78;46;56;12;17;12;10
ko:K01779;2;7;6;20;7;5;0;3
ko:K01781;28;13;10;12;8;8;2;3
ko:K01782;189;180;49;81;48;41;25;19
ko:K01783;179;99;36;55;34;15;15;13
ko:K01784;378;374;355;487;130;137;115;51
ko:K01785;39;29;44;65;42;47;18;9
ko:K01787;0;2;0;0;0;0;0;0
ko:K01788;3;2;6;2;0;0;0;0
ko:K01790;84;74;28;52;18;14;15;6
ko:K01791;63;24;39;60;18;20;5;3
ko:K01792;14;6;4;6;10;0;2;0
ko:K01795;7;8;27;52;1;2;2;2
ko:K01796;14;23;26;20;5;3;3;3
ko:K01799;32;3;4;4;3;4;7;0
ko:K01800;28;26;5;13;3;2;0;0
ko:K01801;10;22;5;14;4;2;0;0
ko:K01802;318;418;235;341;175;87;77;48
ko:K01803;263;165;113;132;56;65;30;29
ko:K01804;21;11;7;9;8;15;8;6
ko:K01805;103;50;73;87;62;80;45;26
ko:K01807;71;44;21;16;15;4;2;0
ko:K01808;94;53;40;53;21;16;6;8
ko:K01809;71;41;26;37;25;11;9;5
ko:K01810;349;189;94;153;90;73;86;46
ko:K01811;16;10;23;13;21;12;6;4
ko:K01812;83;35;39;23;20;29;22;7
ko:K01813;21;15;7;2;1;5;8;3
ko:K01814;56;42;34;45;30;15;16;17
ko:K01815;4;0;0;2;1;5;5;3
ko:K01816;65;44;81;99;30;18;16;11
ko:K01817;107;78;36;36;14;19;10;10
ko:K01818;14;9;13;13;2;4;3;3
ko:K01819;0;0;0;0;0;0;0;0
ko:K01820;27;26;21;18;11;19;15;8
ko:K01821;32;16;17;10;1;3;2;1
ko:K01822;6;3;0;3;1;3;2;0
ko:K01823;34;26;26;28;5;5;2;2
ko:K01825;6;10;8;11;10;10;0;3
ko:K01826;11;13;11;1;7;2;2;3
ko:K01829;2;2;0;4;28;22;15;6
ko:K01834;35;34;36;48;34;40;16;9
ko:K01835;75;99;54;69;65;37;46;21
ko:K01838;247;262;7;12;19;11;7;5
ko:K01839;25;20;21;40;10;0;11;5
ko:K01840;258;207;85;110;67;41;35;12
ko:K01841;26;20;9;13;66;28;7;19
ko:K01843;46;80;56;61;26;35;23;13
ko:K01844;14;10;0;3;12;7;8;1
ko:K01845;237;145;66;140;60;48;34;23
ko:K01846;2;2;0;0;3;0;2;0
ko:K01847;66;35;122;165;93;93;47;35
ko:K01848;451;342;153;185;99;106;67;66
ko:K01849;49;55;27;25;4;12;4;5
